,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,Min,Index,,,,,s,f_x
1,1.172565421,3.460150737,1.792249887,2.27393733,1.459534015,1.050891807,0.858024922,0.995336236,1.047325389,1.016461186,0.806996057,1.470919421,6.984429794,2.371536857,2.656790825,1.110974223,0.958573596,1.043621624,1.022359614,8.193004506,2.021056078,2.211043038,1.192592894,1.179012658,9.323594009,2.344376222,1.158847992,0.715500783,0.090535003,0.347050849,0.228257928,0.127572049,0.206447248,0.150205803,0.08847739,0.095336103,0.108367657,0.103566558,0.062414284,0.113854626,0.524622905,0.404458223,0.155692773,0.07064474,0.082304549,0.146776446,0.142661217,0.080932806,1.696364448,0.443621491,0.308642059,0.112482884,0.148834059,0.113854,4.025720224,0.449245664,0.089849134,0.059670798,0.082304551,0.059670798,58,,1,0,,54,142
2,1.035665588,2.813031292,1.909190728,1.593758443,1.311797295,1.379698522,0.797393844,1.446913927,0.64074081,1.149520209,1.154869839,0.907681789,5.437173485,2.327366552,0.821810812,1.142249891,0.997942647,1.296159304,0.823045499,6.353360414,1.552811945,2.67160551,1.408710909,1.020576394,7.746296981,1.88641992,0.778600918,1.310699962,0.135802506,0.333333424,0.21385463,0.170781937,0.122770951,0.09876546,0.123456823,0.137860121,0.084362164,0.052812085,0.108367655,0.087791518,0.741015223,0.240534999,0.233882092,0.079561063,0.127572051,0.103566558,0.091906747,0.101508944,2.774622802,0.447050848,0.250343002,0.080246936,0.098079587,0.0582985,3.881481296,0.502743621,0.115226369,0.106310041,0.070644738,0.052812085,38,,2,0,,46,134
3,0.81412916,4.014677945,2.205075482,1.522428243,1.301783632,1.171193675,0.670233258,0.922222423,1.12112509,0.546639381,0.612208619,0.986008448,4.691220057,1.663923371,2.097805752,0.949245819,1.182167607,1.238409049,1.005624314,10.37688708,2.322839822,2.870645367,0.834568109,1.46995911,5.865500677,1.951646404,0.902057741,0.814540644,0.151577543,0.169410196,0.200274407,0.098765458,0.068587124,0.114540498,0.126886179,0.089849134,0.112482884,0.17764065,0.118655725,0.125514438,0.92661191,0.353635153,0.101508943,0.156378644,0.183813493,0.112482884,0.052126214,0.112482883,2.933265268,0.330589936,0.139231861,0.131001407,0.085048034,0.1310005,6.919958999,0.244856034,0.124142695,0.211248339,0.183813493,0.052126214,47,,3,0,,37,128
4,0.991906889,3.227983233,2.220507835,1.383950707,0.837311464,1.018518788,1.267901528,0.916872521,0.667901258,0.599862938,1.225240177,0.823456952,4.842317533,6.189987732,2.07626936,0.815500765,1.096159296,1.298354248,1.115363711,8.972839898,1.939780653,2.678395603,1.427640908,1.057339034,6.149863255,2.002469178,1.289849383,0.970919294,0.115226369,0.28600831,0.232510354,0.096707843,0.135802509,0.161865613,0.088477391,0.078189322,0.096021975,0.108367656,0.12688618,0.125514437,0.847462467,0.331550072,0.235253832,0.08710565,0.047325116,0.109053528,0.126886181,0.128943793,2.459122316,0.320576137,0.181755879,0.07681758,0.069272994,0.125514,5.399931775,0.352537817,0.160493871,0.069272995,0.091220874,0.047325116,45,,4,0,,39,127
5,1.040878132,3.61426577,3.045061989,1.882167641,1.203155247,1.394787711,1.180795876,1.176680655,0.818930271,1.175720376,1.633059427,1.289437935,4.592042702,4.067147618,2.322360084,0.764883495,1.101234795,1.353223954,1.016872652,9.41790163,4.427572677,3.218244865,1.562620347,0.612483014,9.146501786,2.254526953,1.295336369,0.917146917,0.051440343,0.486282712,0.242524021,0.165294967,0.153635162,0.222222283,0.158436257,0.065157768,0.108367657,0.088477391,0.086419777,0.093278488,0.652194948,0.278943787,0.212620083,0.180384135,0.09327849,0.148834059,0.094650232,0.128943793,1.065089183,0.451166075,0.189986335,0.117969855,0.120027468,0.1255135,5.435734024,0.335391037,0.096021974,0.063786026,0.098079588,0.051440343,29,,5,0,,36,122
6,1.056927584,4.026200551,1.644856004,2.022222436,0.990123689,1.184636702,0.946364971,1.402743762,0.978052395,0.745267645,1.179835615,1.049383006,4.721261871,2.44451361,1.041975482,1.075377524,0.841975481,0.669958871,1.031550355,10.82825829,3.595405162,4.867490761,1.436831627,1.203018141,8.300892105,1.660905335,0.939780656,1.091221167,0.106310043,0.360768275,0.234567969,0.08916326,0.097393717,0.046639245,0.152949287,0.111111142,0.134430763,0.123456823,0.118655724,0.113854626,1.08086434,0.445061691,0.141289475,0.103566556,0.073388223,0.133744892,0.058299056,0.091906746,1.867283852,0.404526831,0.241426676,0.099451329,0.108367656,0.080246,11.99272983,0.336076907,0.170096067,0.121399209,0.078189322,0.046639245,34,,6,0,,40,121
7,1.092592891,3.249519649,1.556035776,1.366118054,0.903840978,1.045953638,1.139643594,0.690672352,1.032236226,0.53333342,1.124828847,0.89574785,4.428599822,3.831550661,1.138957727,1.403429659,0.987791657,0.707956195,1.119753342,11.44087829,1.333059017,2.128532694,1.263100415,0.922496817,6.377503505,1.495130563,1.327572312,0.676680516,0.11042527,0.330589939,0.178189324,0.0548697,0.146776448,0.085048035,0.067215382,0.141289475,0.035665305,0.106310043,0.102880686,0.108367655,0.65816184,0.380384133,0.266803907,0.07133061,0.113168755,0.096021974,0.074759964,0.205075502,1.826131874,0.693415825,0.233196223,0.116598111,0.155006899,0.11111,6.113786675,0.345679107,0.124142695,0.112482883,0.100137201,0.035665305,37,,7,0,,47,113
8,1.096708121,3.388957423,2.256378913,1.260013674,0.972976896,1.062826045,0.547325255,0.870782076,1.174211571,1.423594308,1.199314405,1.090946755,4.360355711,2.260562909,1.36941047,1.215089453,0.769547531,0.861179871,0.773388365,8.258779722,2.633127858,3.466530256,1.150548945,0.895061989,6.831207031,3.081756248,1.045541889,1.327160862,0.108367657,0.118655727,0.297256524,0.176268906,0.218107061,0.173525425,0.074759965,0.103566558,0.088477391,0.174897167,0.097393716,0.095336103,0.720919138,0.262414278,0.228395122,0.149519932,0.09396436,0.078875193,0.139231861,0.139231863,4.08806659,0.218107057,0.221536411,0.076817579,0.064471897,0.114539,7.243004212,0.438271719,0.083676292,0.085733906,0.077503451,0.064471897,53,,8,0,,29,112
9,0.697942526,2.849314004,2.267901672,1.598216821,1.858025214,1.806996328,1.343758819,0.731138751,0.796022113,1.018655865,1.209465119,0.980795878,3.925102311,2.518519108,2.301509543,1.193072948,1.292318473,0.803566677,1.111111421,12.54794325,1.719684467,3.610700409,1.125446109,1.047050968,5.827297586,2.666118326,0.806447233,1.040603742,0.082304549,0.272976757,0.23703705,0.152263413,0.168038457,0.091906748,0.062414283,0.084362163,0.067215382,0.085733906,0.156378643,0.17626891,0.681138602,0.348902656,0.193415687,0.114540497,0.133059021,0.051440343,0.06104254,0.11591224,3.58127653,0.216049441,0.216735312,0.081618678,0.133059021,0.1460895,12.47400588,0.279149593,0.213305955,0.067215382,0.122770952,0.051440343,46,,9,0,,38,110
10,0.875994636,2.598970684,1.639231721,1.996296689,1.632373578,1.148559941,0.750343129,1.213443299,1.131413154,1.055007038,1.091221152,1.279561344,8.148628204,5.810015183,1.726063523,1.295885059,1.135802794,0.981893229,1.206447522,7.576543099,1.919821805,1.507750642,1.806447628,1.078601038,10.45562451,2.684842636,0.937585979,0.912894627,0.074759966,0.196159176,0.330315539,0.159807997,0.211934219,0.116598112,0.097393716,0.154321028,0.138545992,0.150891674,0.145404704,0.085733907,0.825034359,0.358504851,0.181755878,0.148148189,0.090535005,0.129629665,0.169410196,0.058299057,2.656447284,0.465706574,0.083676292,0.104252429,0.091220876,0.0528115,4.863306045,0.266803914,0.11042527,0.139917733,0.072702352,0.0528115,54,,10,0,,48,109
